Video,Categoria,Método,Threshold,Precisão,Recall,F1-score,TP,FP,FN
Anya_Desenho.mp4,Desenho,BIC Local,0.1,0.455,1.0,0.625,20,24,0
Anya_Desenho.mp4,Desenho,BIC Local,0.3,0.769,1.0,0.87,20,6,0
Anya_Desenho.mp4,Desenho,BIC Local,0.5,0.895,0.85,0.872,17,2,3
Anya_Desenho.mp4,Desenho,Histograma Local,0.1,0.465,1.0,0.635,20,23,0
Anya_Desenho.mp4,Desenho,Histograma Local,0.3,0.741,1.0,0.851,20,7,0
Anya_Desenho.mp4,Desenho,Histograma Local,0.5,0.87,1.0,0.93,20,3,0
BillieEilish_Musica.mp4,Musica,BIC Local,0.1,0.424,1.0,0.595,36,49,0
BillieEilish_Musica.mp4,Musica,BIC Local,0.3,0.562,1.0,0.72,36,28,0
BillieEilish_Musica.mp4,Musica,BIC Local,0.5,0.725,0.806,0.763,29,11,7
BillieEilish_Musica.mp4,Musica,Histograma Local,0.1,0.434,1.0,0.605,36,47,0
BillieEilish_Musica.mp4,Musica,Histograma Local,0.3,0.562,1.0,0.72,36,28,0
BillieEilish_Musica.mp4,Musica,Histograma Local,0.5,0.707,0.806,0.753,29,12,7
Harry_Filme.mp4,Filme,BIC Local,0.1,0.469,1.0,0.638,30,34,0
Harry_Filme.mp4,Filme,BIC Local,0.3,0.682,1.0,0.811,30,14,0
Harry_Filme.mp4,Filme,BIC Local,0.5,0.789,1.0,0.882,30,8,0
Harry_Filme.mp4,Filme,Histograma Local,0.1,0.5,1.0,0.667,30,30,0
Harry_Filme.mp4,Filme,Histograma Local,0.3,0.698,1.0,0.822,30,13,0
Harry_Filme.mp4,Filme,Histograma Local,0.5,0.844,0.9,0.871,27,5,3
LanaDelRey_Musica.mp4,Musica,BIC Local,0.1,0.294,1.0,0.455,25,60,0
LanaDelRey_Musica.mp4,Musica,BIC Local,0.3,0.417,1.0,0.588,25,35,0
LanaDelRey_Musica.mp4,Musica,BIC Local,0.5,0.618,0.84,0.712,21,13,4
LanaDelRey_Musica.mp4,Musica,Histograma Local,0.1,0.298,1.0,0.459,25,59,0
LanaDelRey_Musica.mp4,Musica,Histograma Local,0.3,0.49,1.0,0.658,25,26,0
LanaDelRey_Musica.mp4,Musica,Histograma Local,0.5,0.667,0.72,0.692,18,9,7
Lauren_Musica.mp4,Musica,BIC Local,0.1,0.833,1.0,0.909,30,6,0
Lauren_Musica.mp4,Musica,BIC Local,0.3,1.0,0.7,0.824,21,0,9
Lauren_Musica.mp4,Musica,BIC Local,0.5,1.0,0.167,0.286,5,0,25
Lauren_Musica.mp4,Musica,Histograma Local,0.1,0.857,1.0,0.923,30,5,0
Lauren_Musica.mp4,Musica,Histograma Local,0.3,1.0,0.633,0.776,19,0,11
Lauren_Musica.mp4,Musica,Histograma Local,0.5,1.0,0.167,0.286,5,0,25
Loki_Filme.mp4,Filme,BIC Local,0.1,0.362,1.0,0.531,17,30,0
Loki_Filme.mp4,Filme,BIC Local,0.3,0.654,1.0,0.791,17,9,0
Loki_Filme.mp4,Filme,BIC Local,0.5,0.895,1.0,0.944,17,2,0
Loki_Filme.mp4,Filme,Histograma Local,0.1,0.405,1.0,0.576,17,25,0
Loki_Filme.mp4,Filme,Histograma Local,0.3,0.654,1.0,0.791,17,9,0
Loki_Filme.mp4,Filme,Histograma Local,0.5,0.944,1.0,0.971,17,1,0
Sharkboy_Filme.mp4,Filme,BIC Local,0.1,0.259,1.0,0.411,15,43,0
Sharkboy_Filme.mp4,Filme,BIC Local,0.3,0.714,1.0,0.833,15,6,0
Sharkboy_Filme.mp4,Filme,BIC Local,0.5,0.917,0.733,0.815,11,1,4
Sharkboy_Filme.mp4,Filme,Histograma Local,0.1,0.254,1.0,0.405,15,44,0
Sharkboy_Filme.mp4,Filme,Histograma Local,0.3,0.714,1.0,0.833,15,6,0
Sharkboy_Filme.mp4,Filme,Histograma Local,0.5,0.846,0.733,0.786,11,2,4
Tony_Filme.mp4,Filme,BIC Local,0.1,0.452,1.0,0.622,28,34,0
Tony_Filme.mp4,Filme,BIC Local,0.3,0.651,1.0,0.789,28,15,0
Tony_Filme.mp4,Filme,BIC Local,0.5,0.929,0.929,0.929,26,2,2
Tony_Filme.mp4,Filme,Histograma Local,0.1,0.438,1.0,0.609,28,36,0
Tony_Filme.mp4,Filme,Histograma Local,0.3,0.683,1.0,0.812,28,13,0
Tony_Filme.mp4,Filme,Histograma Local,0.5,0.862,0.893,0.877,25,4,3
Totoro_Desenho.mp4,Desenho,BIC Local,0.1,0.0,0.0,0.0,0,0,0
Totoro_Desenho.mp4,Desenho,BIC Local,0.3,0.0,0.0,0.0,0,0,0
Totoro_Desenho.mp4,Desenho,BIC Local,0.5,0.0,0.0,0.0,0,0,0
Totoro_Desenho.mp4,Desenho,Histograma Local,0.1,0.0,0.0,0.0,0,0,0
Totoro_Desenho.mp4,Desenho,Histograma Local,0.3,0.0,0.0,0.0,0,0,0
Totoro_Desenho.mp4,Desenho,Histograma Local,0.5,0.0,0.0,0.0,0,0,0
Winx_Desenho.mp4,Desenho,BIC Local,0.1,0.489,1.0,0.657,22,23,0
Winx_Desenho.mp4,Desenho,BIC Local,0.3,0.88,1.0,0.936,22,3,0
Winx_Desenho.mp4,Desenho,BIC Local,0.5,0.938,0.682,0.789,15,1,7
Winx_Desenho.mp4,Desenho,Histograma Local,0.1,0.524,1.0,0.688,22,20,0
Winx_Desenho.mp4,Desenho,Histograma Local,0.3,0.88,1.0,0.936,22,3,0
Winx_Desenho.mp4,Desenho,Histograma Local,0.5,0.875,0.318,0.467,7,1,15
